VENDOR DESCRIPTION,VENDOR ARTICLE NUMBER,IMPA,PRICE
REFCO refrigerant leak detector - 16840 incl. 1 cylinder,702,617020,115
REFCO propane gas cylinder for refrigerant leak detector - 16847 ,#00669,617021,42.5
Electronic refrigerant gas leak detector complete with 2 spare sensors in case ,03319_S,617022,168
Electronic freon leakseeker ,00692_S,617022,143.55
GUPOFLEX leak detector spray 400 ml. ,#09447,617024,9.9
"AMBERSIL leak & flaw detector spray, set of 3 x 400 ml developer, penetrant & cleaner",#13082_S,617026,81.85
"Outside calipers, stainless steel,  lenght 200 mm. ",2963,650104,10.5
"Outside calipers, stainless steel,  lenght 300 mm. ",2965,650106,16.8
"Outside calipers, stainless steel,  lenght 500 mm. ",2967,650109,37.35
"Spring outside calipers, stainless steel,  lenght 100 mm. ",2971,650121,13.35
"Spring outside calipers, stainless steel,  lenght 150 mm. ",2973,650123,13.5
"Spring outside calipers, stainless steel,  lenght 200 mm. ",2974,650134,16.35
"External spring joint caliper, stainless steel,  lenght 250 mm. ",2994,650135,18.72
"Firm joint compasses, stainless steel,  lenght 300 mm. ",#13694,650136,19.65
"Inside calipers, stainless steel,  lenght 100 mm. ",2977,650151,12
"Inside calipers, stainless steel,  lenght 150 mm. ",2979,650153,10.8
"Inside calipers, stainless steel,  lenght 200 mm. ",2989,650154,11.1
"Inside calipers, stainless steel,  lenght 300 mm. ",2982,650156,15.75
"Inside calipers, stainless steel,  lenght 1000 mm. ",2987,650162,120
"Spring inside calipers, stainless steel,  lenght 100 mm. ",2980,650171,11.25
"Spring inside calipers, stainless steel,  lenght 150 mm. ",2951,650173,15.75
"Spring inside calipers, stainless steel, lenght 200 mm. ",2991,650174,17.4
"Inside calipers, stainless steel,  lenght 250 mm. ",2981,650185,9.38
"Compass, stainless steel,  length 100 mm. ",#20344,650212,12.45
"Firm joint compass, stainless steel,  lenght 250 mm. ",2988,650216,16.05
"Firm joint compasses, stainless steel, lenght 400 mm ",#10817,650219,36.75
"Spring joint divider, stainless steel, 100 mm with adjustment screw and interchangeable points ",#10783,650232,15.15
"Spring joint divider, stainless steel, 200 mm with adjustment screw ",#15089,650235,16.35
"Outside micrometer, range 0-25 mm. - graduated 0.01 mm. ",#00795,650301,31.95
"Outside micrometer, range 25-50 mm. - graduated 0.01 mm. ",#00796,650302,34.95
"Outside micrometer, range 50-75 mm. - graduated 0.01 mm. ",#00797,650303,38.85
"Outside micrometer, range 75-100 mm. - graduated 0.01 mm. ",#01827,650304,42.6
"Outside micrometer, range 100-125 mm. - graduated 0.01 mm. ",#01828,650305,49.35
"Outside micrometer, range 125-150 mm. - graduated 0.01 mm. ",#01829,650306,57.75
"Outside micrometer, range 150-175 mm. - graduated 0.01 mm. ",#01830,650307,67.5
"Outside micrometer, range 175-200 mm. - graduated 0.01 mm. ",#01831,650308,76.5
"Outside micrometer, range 200-225 mm. - graduated 0.01 mm. ",#01832,650309,66.75
"Outside micrometer, range 225-250 mm. - graduated 0.01 mm. ",#01833,650310,91.5
"Outside micrometer, range 250-275 mm. - graduated 0.01 mm. ",#01834,650311,78.75
"Outside micrometer, range 275-300 mm. - graduated 0.01 mm. ",#01835,650312,108
"Outside micrometer, range 0-25 mm. - graduated 0.01 mm. with counter ",1800,650341,87
"Outside micrometer, range 25-50 mm. - graduated 0.01 mm. with counter ",1801,650342,97.5
"Outside micrometer, range 50-75 mm. - graduated 0.01 mm. with counter ",1802,650343,108
"Outside micrometer, range 75-100 mm. - graduated 0.01 mm. with counter ",1803,650344,120
"Outside micrometer, range 100-125 mm. - graduated 0.01 mm. with counter ",1804,650345,133.5
"Outside micrometer, range 125-150 mm. - graduated 0.01 mm. with counter ",1805,650346,163.5
"Outside micrometer, range 150-175 mm. - graduated 0.01 mm. with counter ",1806,650347,195
"Outside micrometer, range 175-200 mm. - graduated 0.01 mm. - with counter ",1807,650348,207
"Outside micrometer, digital, range 200-300 mm. - graduated 0.001 mm. with interchangeable anvils ",1820,650351,343.5
"Outside micrometer, range 0-150 mm. - graduated 0.01 mm. with interchangeable anvils ",#05115,650382,234
"Outside micrometer, range 150-300 mm. - graduated 0.01 mm. with interchangeable anvils ",1815,650383,294
"Outside micrometer, range 300-400 mm. - graduated 0.01 mm. ",#05048,650384,375
"Outside micrometer, range 400-500 mm. - graduated 0.01 mm. ",#05105,650385,424.5
"Outside micrometer, range 700-800 mm. - graduated 0.01 mm. ",#13645,650388,706.5
